idx,smiles,atoms,regressionLogistique
0,O=C(CN1N=CN=C1)C2=CC(F)=CC=C2F,15,0.9918076314440794
1,OC(C1=CC(F)=CC=C1F)(CN2N=CN=C2)C(C)C#N,15,0.9967615754294786
2,C[C@@H]([C@](O)(CN1N=CN=C1)C2=CC(F)=CC=C2F)C#N,15,0.9967615754294786
3,C[C@@H]([C@](O)(CN1N=CN=C1)C2=CC(F)=CC=C2F)C(N)=S,15,0.9906396759873252
4,C[C@@H]([C@](O)(CN1N=CN=C1)C2=CC(F)=CC=C2F)C3=NC(C4=CC=C(C#N)C=C4)=CS3,15,0.9854833396419789
0,ClC1=C(C(O)=O)C=CC=N1,15,0.9903030480167055
1,ClC1=C(C(Cl)=O)C=CC=N1,15,0.946745899809245
2,ClC1=C(C(OC(C)(C)C)=O)C=CC=N1,15,0.9990132317162982
3,CNC1=C(C(OC(C)(C)C)=O)C=CC=N1,15,0.9940640556367379
4,CNC1=C(CO)C=CC=N1,15,0.9792191567434776
5,CN(C(OC(Cl)C)=O)C1=C(COC(CN(C(OC(C)(C)C)=O)C)=O)C=CC=N1,15,0.9943778467840733
6,CN(C(OC([N+]1=CN(C[C@]([C@H](C2=NC(C3=CC=C(C#N)C=C3)=CS2)C)(O)C4=CC(F)=CC=C4F)N=C1)C)=O)C5=C(COC(CNC)=O)C=CC=N5,15,0.7645784245387754
0,CCCCCCCCN,15,0.7366202942194041
1,CCCCCCCC/N=C(NC#N)\N,15,0.7901435610642372
2,CCCCCCCC/N=C(N/C(N)=N/CC1=CC(Cl)=C(Cl)C=C1)\N,15,0.9960297627918525
0,BrC1=C(C)C(Br)=CC=C1,15,0.9837215934807115
1,BrC1=C(C)C(NC2CC2)=CC=C1,15,0.9754987913150138
2,BrC1=C(C)C(N(C2CC2)C=C(C(OCC)=O)C3=O)=C3C=C1,15,0.976420148541837
3,O=C1C(C(OCC)=O)=CN(C2CC2)C3=C1C=CC(C4=CC(C)=C([N]C(C)=O)N=C4)=C3C,15,0.4688101814847201
4,O=C1C(C(O)=O)=CN(C2CC2)C3=C1C=CC(C4=CC(C)=C(N(C(C)=O)C)N=C4)=C3C,15,0.3678353212086466
5,O=C1C(C(O)=O)=CN(C2CC2)C3=C1C=CC(C4=CC(C)=C(NC)N=C4)=C3C,15,0.19938733943570647
0,BrC1=CC(C)=C(Cl)N=C1,15,0.9951115416711843
1,BrC1=CC(C)=C(NC)N=C1,15,0.9640484721895715
2,BrC1=CC(C)=C(N(C)C(C)=O)N=C1,15,0.9961625911010805
3,CC1=C(N(C)C(C)=O)N=CC([Sn](CCCC)(CCCC)CCCC)=C1,15,0.9982852484786097
0,O=C1CC(NC(N1)=S)=O,15,0.19269878794342232
1,ClC1=NC(SCCC(F)(F)F)=NC(Cl)=C1N,15,0.7327854410803893
2,CSCCNC1=NC(SCCC(F)(F)F)=NC2=C1N=CN2,15,0.19575600538513313
3,CSCCNC1=NC(SCCC(F)(F)F)=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3,15,0.003641929569120885
